"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
4,1,50,50,0.9926997052,0.0217152804,0.9911298531,0.0316391416
4,2,50,50,0.99508634,0.0200039903,0.9906936164,0.0307098437
4,3,50,50,0.9928400955,0.0259885971,0.9895303185,0.0346272098
4,4,50,50,0.993120876,0.0240872026,0.9912752654,0.0328237104
0,0,50,75,0.9940236275,0.0206542282,0.9892725937,0.0367213522
0,1,50,75,0.9949965254,0.0198425846,0.9891256429,0.0350804815
0,2,50,75,0.9954134816,0.0167492518,0.9888317414,0.0339011052
0,3,50,75,0.9933287005,0.0216718487,0.9880969875,0.0348104175
0,4,50,75,0.9951355108,0.0206790987,0.9886847906,0.0371960089
1,0,50,75,0.9940310938,0.022976411,0.9898469688,0.035223169
1,1,50,75,0.993337035,0.0247740846,0.9888169511,0.0362721715
1,2,50,75,0.9941699056,0.0219562229,0.9896998234,0.0350700773
1,3,50,75,0.9940310938,0.0223473775,0.9891112419,0.0353961405
1,4,50,75,0.9926429761,0.0296747275,0.988375515,0.0380660611
2,0,50,75,0.994253679,0.018209176,0.9918426803,0.0290370181
2,1,50,75,0.9935529082,0.0223510151,0.991405681,0.0287540487
2,2,50,75,0.9950946041,0.0185437317,0.9921340131,0.0298517722
2,3,50,75,0.9946741416,0.0170853254,0.9925710124,0.0275255746
2,4,50,75,0.9943938332,0.0188985039,0.9899490168,0.0333665213
3,0,50,75,0.9952679193,0.0173131454,0.9901687454,0.0292764097
3,1,50,75,0.9940153097,0.0199286953,0.9895818048,0.0318142402
3,2,50,75,0.993736952,0.0185040655,0.98972854,0.0305993449
3,3,50,75,0.9947112039,0.0185149224,0.9881144534,0.0348258563
3,4,50,75,0.9954070981,0.0188483452,0.9894350697,0.0320844618
4,0,50,75,0.9932612663,0.0223806099,0.9901119674,0.0313377427
4,1,50,75,0.99508634,0.0192107636,0.9899665552,0.0347810513
4,2,50,75,0.9939632177,0.0211435168,0.9911298531,0.0313838093
4,3,50,75,0.9946651692,0.0195330438,0.9905482042,0.0325634154
4,4,50,75,0.9943843886,0.0216389303,0.9904027919,0.0315629558
0,0,50,100,0.9947185546,0.0184766001,0.9885378398,0.0339731522
0,1,50,100,0.9933287005,0.0230901614,0.9891256429,0.0340411688
0,2,50,100,0.9943015983,0.020777443,0.9891256429,0.0353352475
0,3,50,100,0.992494788,0.0244310125,0.9886847906,0.034894914
0,4,50,100,0.9912439194,0.028482935,0.9894195445,0.0336581514
1,0,50,100,0.9941699056,0.0217746857,0.9894055327,0.0364546888
1,1,50,100,0.9936146585,0.0246978738,0.9888169511,0.0357356398
1,2,50,100,0.9927817879,0.0244459382,0.9888169511,0.0351626691
